feed_title,feed_link,feed_description,feed_language,title,link,description,pub_date,guid,dc_creator,author,media_url,media_type,media_width,media_height,enclosure_url,enclosure_type,enclosure_length,pub_date_formatted,full_content
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,"Hong Kong police arrest man over HK$10,000 cash theft on inbound flight",https://www.scmp.com/news/hong-kong/law-and-crime/article/3303621/hong-kong-police-arrest-man-over-hk10000-cash-theft-inbound-flight?utm_source=rss_feed,"58-year-old suspect from mainland China, accused of stealing cash from another passenger’s backpack on a flight from Bangkok.","Mon, 24 Mar 2025 16:35:48 +0800",https://www.scmp.com/news/hong-kong/law-and-crime/article/3303621/hong-kong-police-arrest-man-over-hk10000-cash-theft-inbound-flight?utm_source=rss_feed,Ambrose Li,Ambrose Li,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/d683e6f8-d04f-48a5-9bdb-643dc33ed00e_06414114.jpg?itok=2o1b1fD_,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/d683e6f8-d04f-48a5-9bdb-643dc33ed00e_06414114.jpg?itok=2o1b1fD_,image/jpeg,1280,2025-03-24 16:35:48,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,"Hong Kong teacher jailed for 22 months over unlawful sex with girl, 15",https://www.scmp.com/news/hong-kong/law-and-crime/article/3303618/hong-kong-teacher-jailed-22-months-over-unlawful-sex-girl-15?utm_source=rss_feed,41-year-old religious studies teacher pleads guilty to two sexual offences against his former pupil at Christian school.,"Mon, 24 Mar 2025 16:34:08 +0800",https://www.scmp.com/news/hong-kong/law-and-crime/article/3303618/hong-kong-teacher-jailed-22-months-over-unlawful-sex-girl-15?utm_source=rss_feed,Brian Wong,Brian Wong,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/37e7c989-b1f6-488a-b830-221e2646c599_0db885f2.jpg?itok=J_X0Z6RL,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/37e7c989-b1f6-488a-b830-221e2646c599_0db885f2.jpg?itok=J_X0Z6RL,image/jpeg,1280,2025-03-24 16:34:08,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,‘It’s a mess’: Coldplay fans in Hong Kong vent about hassle over misprinted tickets,https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3303615/its-mess-coldplay-fans-hong-kong-vent-about-hassle-over-misprinted-tickets?utm_source=rss_feed,"One ticket holder says the whole process, including travel time, took about two hours at an exchange centre in North Point.","Mon, 24 Mar 2025 16:30:17 +0800",https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3303615/its-mess-coldplay-fans-hong-kong-vent-about-hassle-over-misprinted-tickets?utm_source=rss_feed,Xinyi Wu,Xinyi Wu,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/02ecdc2d-b4ed-4792-919e-77bf1689471a_314e009c.jpg?itok=mzfG9siv,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/02ecdc2d-b4ed-4792-919e-77bf1689471a_314e009c.jpg?itok=mzfG9siv,image/jpeg,1280,2025-03-24 16:30:17,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,Hong Kong hospitals can save at least HK$24 million a year with new drug vetting system,https://www.scmp.com/news/hong-kong/health-environment/article/3303608/hong-kong-hospitals-can-save-millions-year-new-drug-vetting-system?utm_source=rss_feed,Pharmaceutical firms may consult health authorities individually to speed up process under streamlined drug approval system.,"Mon, 24 Mar 2025 15:58:05 +0800",https://www.scmp.com/news/hong-kong/health-environment/article/3303608/hong-kong-hospitals-can-save-millions-year-new-drug-vetting-system?utm_source=rss_feed,Elizabeth Cheung,Elizabeth Cheung,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/4bd159b2-dc02-4c60-be66-03d969179e66_e294e174.jpg?itok=HXTVClWI,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/4bd159b2-dc02-4c60-be66-03d969179e66_e294e174.jpg?itok=HXTVClWI,image/jpeg,1280,2025-03-24 15:58:05,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,Hong Kong urged to offer well-off tenants priority ‘carrot’ to buy subsidised flats,https://www.scmp.com/news/hong-kong/society/article/3303576/hong-kong-urged-offer-rich-tenants-priority-carrot-buy-subsidised-flats?utm_source=rss_feed,Call made after authorities announce plan to raise rent and evict wealthier tenants from public rental flats.,"Mon, 24 Mar 2025 12:32:42 +0800",https://www.scmp.com/news/hong-kong/society/article/3303576/hong-kong-urged-offer-rich-tenants-priority-carrot-buy-subsidised-flats?utm_source=rss_feed,Lo Hoi-ying,Lo Hoi-ying,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/ebf427d0-be35-4d1d-a074-1a3718831cd6_6defb1e2.jpg?itok=GcUf1sJP,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/ebf427d0-be35-4d1d-a074-1a3718831cd6_6defb1e2.jpg?itok=GcUf1sJP,image/jpeg,1280,2025-03-24 12:32:42,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,"China’s deep-sea cable cutter, Gen Z’s cosmetic cravings: 5 weekend reads you missed",https://www.scmp.com/news/world/article/3303568/chinas-deep-sea-cable-cutter-gen-zs-cosmetic-cravings-5-weekend-reads-you-missed?utm_source=rss_feed,"From China’s potentially game-changing device to a chef’s push to preserve traditions, here are five stories you may have missed over the weekend.","Mon, 24 Mar 2025 12:00:10 +0800",https://www.scmp.com/news/world/article/3303568/chinas-deep-sea-cable-cutter-gen-zs-cosmetic-cravings-5-weekend-reads-you-missed?utm_source=rss_feed,SCMP,SCMP,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/9c02223f-9b93-4778-92ce-c6c5718486ee_15a545b4.jpg?itok=LFAZfmpi,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/24/9c02223f-9b93-4778-92ce-c6c5718486ee_15a545b4.jpg?itok=LFAZfmpi,image/jpeg,1280,2025-03-24 12:00:10,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,"Hong Kong may need 7 to 15 years to digest city’s glut of commercial space, experts say",https://www.scmp.com/business/article/3303518/hong-kong-landlords-may-take-7-15-years-end-office-glut-market-experts-say?utm_source=rss_feed,"The city has 15 million sq ft of excess office space, more than all the current space in the main business district.","Mon, 24 Mar 2025 09:30:14 +0800",https://www.scmp.com/business/article/3303518/hong-kong-landlords-may-take-7-15-years-end-office-glut-market-experts-say?utm_source=rss_feed,Cheryl Arcibal,Cheryl Arcibal,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/23/01f79672-d43d-4999-a2e5-5a411272b221_e6842bea.jpg?itok=zjFwvxYq,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/23/01f79672-d43d-4999-a2e5-5a411272b221_e6842bea.jpg?itok=zjFwvxYq,image/jpeg,1280,2025-03-24 09:30:14,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,Kai Tak venue fiasco must not be repeated at Hong Kong Sevens,https://www.scmp.com/opinion/hong-kong-opinion/article/3303290/kai-tak-venue-fiasco-must-not-be-repeated-hong-kong-sevens?utm_source=rss_feed,"If Kai Tak Sports Park’s early days are any indication, the government must be hands-on to ensure Hong Kong avoids further embarrassment.","Mon, 24 Mar 2025 09:30:09 +0800",https://www.scmp.com/opinion/hong-kong-opinion/article/3303290/kai-tak-venue-fiasco-must-not-be-repeated-hong-kong-sevens?utm_source=rss_feed,Alice Wu,Alice Wu,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/21/a09113f6-2d9a-4c5e-ab19-5bbdbdf05afa_24e27ca4.jpg?itok=wkZK1uux,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/21/a09113f6-2d9a-4c5e-ab19-5bbdbdf05afa_24e27ca4.jpg?itok=wkZK1uux,image/jpeg,1280,2025-03-24 09:30:09,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,Hong Kong in talks with banks on how to freeze scam-linked accounts more swiftly,https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3303546/hong-kong-talks-banks-how-freeze-scam-linked-accounts-more-swiftly?utm_source=rss_feed,"HKMA, police discuss options with banks in bid to prevent scammers from quickly transferring money out of city, Post learns.","Mon, 24 Mar 2025 08:30:14 +0800",https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3303546/hong-kong-talks-banks-how-freeze-scam-linked-accounts-more-swiftly?utm_source=rss_feed,Lam Ka-sing,Lam Ka-sing,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/23/5a86a4f4-07c4-488d-a4d7-dd3e84edbc29_e8bd04d6.jpg?itok=mf40MBLL,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/23/5a86a4f4-07c4-488d-a4d7-dd3e84edbc29_e8bd04d6.jpg?itok=mf40MBLL,image/jpeg,1280,2025-03-24 08:30:14,
Hong Kong - South China Morning Post,https://www.scmp.com/rss/2/feed,"Breaking news, analysis and opinion from the SCMP's Hong Kong edition.",en,Ping An eyes life insurance expansion in Hong Kong for retirement services: CEO,https://www.scmp.com/business/markets/article/3303504/ping-eyes-life-insurance-expansion-hong-kong-retirement-services-ceo?utm_source=rss_feed,"The insurer is weighing different entry strategies that include applying for a new licence, partnerships and acquisitions.","Mon, 24 Mar 2025 08:30:11 +0800",https://www.scmp.com/business/markets/article/3303504/ping-eyes-life-insurance-expansion-hong-kong-retirement-services-ceo?utm_source=rss_feed,Enoch Yiu,Enoch Yiu,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/23/f2614433-9fa3-4abc-97aa-b2c65f2b7078_9f976e6c.jpg?itok=NXAH4k0_,image/jpeg,1280,720,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/canvas/2025/03/23/f2614433-9fa3-4abc-97aa-b2c65f2b7078_9f976e6c.jpg?itok=NXAH4k0_,image/jpeg,1280,2025-03-24 08:30:11,
