source,title,link,pub_date,full_content,author,pub_date_formatted,category
HKFP,"US President Donald Trump triples planned tariffs on small parcels from China and Hong Kong, effective May 2",https://hongkongfp.com/2025/04/09/us-president-donald-trump-triples-planned-tariffs-on-small-parcels-from-china-and-hong-kong-effective-may-2/,"17:18, 9 April 2025","US President <a href=""https://hongkongfp.com/tag/donald-trump/"">Donald Trump</a> has raised planned tariffs on small parcels coming from China and Hong Kong to 90 per cent, tripling the rate he announced a week ago, amid an escalation of the trade war with Beijing. Last week, Trump announced the US would end a duty-free exemption for shipments valued at US$800 or below from China and Hong Kong on May 2, subjecting them to a duty rate of <a href=""https://hongkongfp.com/2025/04/03/trump-orders-end-to-duty-free-relief-for-small-parcels-from-china-in-blow-to-shein-temu/"">either 30 per cent of their value or US$25 per item</a>, rising to US$50 per item after June 1. The US president signed an <a href=""https://www.whitehouse.gov/presidential-actions/2025/04/amendment-to-recipricol-tariffs-and-updated-duties-as-applied-to-low-value-imports-from-the-peoples-republic-of-china/"">executive order</a> on Tuesday that tripled the tariff rates, raising them to either 90 per cent of the shipment&#8217;s value or US$75 per item, effective May 2. Starting June 1, the latter rate will increase to US$150 per item.",Site Kit -->,2025-04-09,HKFP
HKFP,Hong Kong social worker Jackie Chen jailed for almost 4 years for rioting following retrial,https://hongkongfp.com/2025/04/09/hong-kong-social-worker-jackie-chen-jailed-for-almost-4-years-for-rioting-following-retrial/,"14:26, 9 April 2025","Hong Kong social worker Jackie Chen has been jailed for three years and nine months, after a retrial found her guilty of rioting during the 2019 protests and unrest. Chen, 48, appeared before Deputy District Judge May Chung on Wednesday morning to face sentencing along with three co-defendants for taking part in a riot in Wan Chai on August 31, 2019. The social worker was initially cleared of rioting midway through her first trial in September 2020, but the Department of Justice successfully appealed the acquittal. She <a href=""https://hongkongfp.com/2024/12/02/hong-kong-social-worker-jackie-chen-pleads-not-guilty-to-rioting-during-2019-protest-as-retrial-begins/"">pleaded not guilty when she faced a retrial</a> in December 2024, but was <a href=""https://hongkongfp.com/2025/03/11/breaking-hong-kong-social-worker-jackie-chen-found-guilty-of-rioting-during-2019-protest-after-retrial/"">convicted last month</a>.",Site Kit -->,2025-04-09,HKFP
HKFP,5 arrested over suspected Coldplay ticket scalping outside Kai Tak Stadium,https://hongkongfp.com/2025/04/09/5-arrested-over-suspected-coldplay-ticket-scalping-outside-kai-tak-stadium/,"17:12, 9 April 2025","Hong Kong police have arrested five people over suspected ticket scalping outside Kai Tak Stadium, where British band Coldplay kicked off its concert series in the city on Tuesday. Three men and two women were arrested on Tuesday night outside the stadium, according to the police force. The five, aged 27 to 51, were visitors from mainland China. They were arrested on suspicion of breaching conditions of stay and were detained for further investigation, police also said.",Site Kit -->,2025-04-09,HKFP
HKFP,China says raising tariffs on US products to 84% from Thursday,https://hongkongfp.com/2025/04/09/breaking-china-says-raising-tariffs-on-us-products-to-84-finance-ministry/,"20:20, 9 April 2025","China will impose 84 percent tariffs on US imports, up from 34 percent, the finance ministry said Wednesday, hours after similar levies by the United States came into force. US President Donald Trump&#8217;s latest salvo of tariffs came into effect on dozens of trading partners Wednesday, including punishing 104 percent duties on imports of Chinese products. Beijing has consistently opposed tariff rises and said Wednesday it would take &#8220;firm and forceful&#8221; steps to protect its interests.","US President Donald Trump came into force."" />",2025-04-09,HKFP
HKFP,Hong Kong tram fares to rise by up to 15% from May 12,https://hongkongfp.com/2025/04/09/hong-kong-tram-fares-to-rise-by-up-to-15-from-may-12/,"11:47, 9 April 2025","Tram fares will rise by up to 15 per cent from May 12, the government has announced, after the Executive Council approved <a href=""https://hongkongfp.com/2025/02/12/hong-kong-tramways-seeking-10-fare-increase-to-hk3-30/"">Hong Kong Tramways&#8217; (HKT) application for the increase</a> on Tuesday. Fares for passengers aged 12 or above will rise 10 per cent to HK$3.30, whilst children aged between 3 and 11 will pay HK$1.60 &#8211; almost 7 per cent more. Elderly fares will rise to HK$1.50 &#8211; a 15 per cent hike. The cost of monthly tickets will remain at HK$260.",up to 15% from May 12,2025-04-09,HKFP
HKFP,Daughter of ex-Hong Kong leader CY Leung &#8211; Chai-yan &#8211; dies aged 33,https://hongkongfp.com/2025/04/09/daughter-of-ex-hong-kong-leader-cy-leung-chai-yan-dies-aged-33/,"11:54, 9 April 2025","Leung Chai-yan, the daughter of former Hong Kong chief executive Leung Chun-ying, has died at the age of 33. In a Facebook post early on Wednesday, the ex-leader said that his daughter had died suddenly, but peacefully, in bed. A few days earlier, she &#8220;took the initiative to get the flu vaccine,&#8221; he added. &#8220;Thanks to the police and forensic investigation, we can now rule out suicide and other suspicions,&#8221; Leung Chun-ying said. &#8220;We are grateful for the concern, understanding and sympathy from all of you at this most difficult time for our family.&#8221;",Site Kit -->,2025-04-09,HKFP
HKFP,Article 23 security law: Hong Kong man jailed for 1 year over publishing 145 seditious comments online,https://hongkongfp.com/2025/04/09/article-23-security-law-hong-kong-man-jailed-for-1-year-over-publishing-145-seditious-comments-online/,"07:13, 9 April 2025","A 57-year-old Hong Kong man has been jailed for one year over posting seditious comments on three social media platforms under the city’s homegrown security law. On Tuesday, <a href=""https://hongkongfp.com/tag/chow-kim-ho/"">Chow Kim-ho</a>, a former member of the pro-democracy group League of Social Democrats, pleaded guilty to one count of “knowingly publishing publications that had a seditious intention” under the Safeguarding National Security Ordinance, known locally as Article 23. He admitted to publishing 145 seditious comments on social media platforms Facebook, Instagram, and Threads between March and November last year.",Site Kit -->,2025-04-09,HKFP
HKFP,Ukraine president says captured two Chinese nationals fighting for Russia,https://hongkongfp.com/2025/04/09/ukraine-president-says-captured-two-chinese-nationals-fighting-for-russia/,"17:43, 9 April 2025","President <a href=""https://hongkongfp.com/tag/volodymyr-zelensky/"">Volodymyr Zelensky</a> said Tuesday that Ukrainian troops had captured two Chinese citizens fighting alongside Russian forces, with Kyiv demanding an explanation from Beijing. Moscow and Beijing have in recent years boasted of their &#8220;no limits&#8221; partnership and deepened political, military and economic cooperation since Russia&#8217;s full-scale invasion of Ukraine began in February 2022. &#8220;Our military captured two Chinese citizens who fought in the Russian army. This happened on the territory of Ukraine &#8212; in the Donetsk region,&#8221; Zelensky <a href=""https://x.com/ZelenskyyUa/status/1909586461029965871"">said</a> in a post on social media.",Site Kit -->,2025-04-09,HKFP
HKFP,"US, China clash as Donald Trump set to unleash 104% tariff",https://hongkongfp.com/2025/04/09/us-china-clash-as-donald-trump-set-to-unleash-104-tariff/,"07:04, 9 April 2025","The United States and China hurtled towards an all-out trade war Tuesday, locked in a high stakes game of brinkmanship as President Donald Trump prepared to unleash a new wave of tariffs against dozens of partners. The global economy has been rocked since sweeping 10 percent US tariffs took effect over the weekend, triggering a dramatic market sell-off worldwide and sparking recession fears. Rates on imports to the United States from dozens of economies are set to rise further at 12.01 am (0401 GMT) Wednesday, and this will see tariffs imposed on Chinese products since Trump returned to the White House reach a staggering 104 percent.",Site Kit -->,2025-04-09,HKFP
HKFP,"Trump threatens additional 50% tariffs on China, stacking on earlier rate",https://hongkongfp.com/2025/04/08/trump-threatens-additional-50-tariffs-on-china-stacking-on-earlier-rate/,"09:50, 8 April 2025","US President Donald Trump on Monday threatened huge additional tariffs on imports from China if Beijing did not withdraw its retaliation plans, adding that Washington would begin talks with other countries that want negotiations. The fresh action would stack on an already steep US rate taking effect Wednesday, the White House told AFP, bringing the total figure to a prohibitive level. &#8220;If China does not withdraw its 34 percent increase above their already long term trading abuses by tomorrow, April 8th, 2025, the United States will impose ADDITIONAL Tariffs on China of 50 percent, effective April 9th,&#8221; Trump said in a Truth Social post.",Site Kit -->,2025-04-08,HKFP
