source,category,subcategory,title,link,description,pub_date,author,guid,full_content,pub_date_formatted,full_paragraphs
SCMP,news,hong_kong,Hong Kong police arrest 2 for allegedly practising as unlicensed dentists,https://www.scmp.com/news/hong-kong/law-and-crime/article/3306231/hong-kong-police-arrest-2-allegedly-practising-unlicensed-dentists?utm_source=rss_feed,"Undercover officers pose as customers in two separate cases, which are first to emerge since update to regulations earlier this year.","Fri, 11 Apr 2025 20:32:55 +0800",Ambrose Li,https://www.scmp.com/news/hong-kong/law-and-crime/article/3306231/hong-kong-police-arrest-2-allegedly-practising-unlicensed-dentists?utm_source=rss_feed,"Undercover officers pose as customers in two separate cases, which are first to emerge since update to regulations earlier this year.",2025-04-11 20:32:55,
SCMP,news,hong_kong,Hong Kong seeks to attract US-listed mainland firms amid trade war,https://www.scmp.com/news/hong-kong/politics/article/3306227/hong-kong-seeks-attract-us-listed-mainland-firms-amid-trade-war?utm_source=rss_feed,Innovation chief Sun Dong pledges to showcase city’s global appeal as he reveals several firms have already contacted the Hong Kong government.,"Fri, 11 Apr 2025 20:23:10 +0800",Harvey Kong,https://www.scmp.com/news/hong-kong/politics/article/3306227/hong-kong-seeks-attract-us-listed-mainland-firms-amid-trade-war?utm_source=rss_feed,Innovation chief Sun Dong pledges to showcase city’s global appeal as he reveals several firms have already contacted the Hong Kong government.,2025-04-11 20:23:10,
SCMP,news,hong_kong,Australia woman gives birth to stranger’s baby after IVF clinic error,https://www.scmp.com/news/asia/australasia/article/3306229/australia-woman-gives-birth-strangers-baby-after-ivf-clinic-error?utm_source=rss_feed,Staff at Brisbane’s Monash IVF discovered an embryo from another patient had been mistakenly thawed and transferred to the birth mother.,"Fri, 11 Apr 2025 20:18:29 +0800",Associated Press,https://www.scmp.com/news/asia/australasia/article/3306229/australia-woman-gives-birth-strangers-baby-after-ivf-clinic-error?utm_source=rss_feed,Staff at Brisbane’s Monash IVF discovered an embryo from another patient had been mistakenly thawed and transferred to the birth mother.,2025-04-11 20:18:29,
SCMP,news,hong_kong,Hong Kong to test flood scheme at 5 road sections hit by 2023 rainstorm chaos,https://www.scmp.com/news/hong-kong/society/article/3306224/hong-kong-test-flood-scheme-5-road-sections-hit-2023-rainstorm-chaos?utm_source=rss_feed,"Warning signs, wading lines and flood monitoring devices will be used at five low-lying road sections under pilot scheme.","Fri, 11 Apr 2025 20:06:04 +0800",Edith Lin,https://www.scmp.com/news/hong-kong/society/article/3306224/hong-kong-test-flood-scheme-5-road-sections-hit-2023-rainstorm-chaos?utm_source=rss_feed,"Warning signs, wading lines and flood monitoring devices will be used at five low-lying road sections under pilot scheme.",2025-04-11 20:06:04,
SCMP,business,companies,"Manchester United visit is nice, but India are the top priority for Hong Kong coach",https://www.scmp.com/sport/football/article/3306196/manchester-united-visit-nice-india-are-top-priority-hong-kong-coach?utm_source=rss_feed,"City’s representative team face Premier League side next month, but Asian Cup qualifier days later is the real prize for Ashley Westwood.","Fri, 11 Apr 2025 20:00:08 +0800",Paul McNamara,https://www.scmp.com/sport/football/article/3306196/manchester-united-visit-nice-india-are-top-priority-hong-kong-coach?utm_source=rss_feed,"City’s representative team face Premier League side next month, but Asian Cup qualifier days later is the real prize for Ashley Westwood.",2025-04-11 20:00:08,
SCMP,news,hong_kong,Chip war: China amends ‘place of origin’ in boost to local semiconductor manufacturers,https://www.scmp.com/tech/tech-war/article/3306220/chip-war-china-amends-place-origin-boost-local-semiconductor-manufacturers?utm_source=rss_feed,The China Semiconductor Industry Association said that the place of origin for chips is now determined by the location of the wafer fabrication plant.,"Fri, 11 Apr 2025 20:00:04 +0800",Wency Chen,https://www.scmp.com/tech/tech-war/article/3306220/chip-war-china-amends-place-origin-boost-local-semiconductor-manufacturers?utm_source=rss_feed,The China Semiconductor Industry Association said that the place of origin for chips is now determined by the location of the wafer fabrication plant.,2025-04-11 20:00:04,
SCMP,news,hong_kong,US fires fresh broadside at China’s shipyards with new executive order,https://www.scmp.com/economy/china-economy/article/3306177/us-fires-fresh-broadside-chinas-shipyards-new-executive-order?utm_source=rss_feed,"The US has softened a controversial port-fee proposal, but is preparing yet more tariffs targeting China’s dominant shipbuilding sector.","Fri, 11 Apr 2025 19:30:07 +0800",Carol Yang,https://www.scmp.com/economy/china-economy/article/3306177/us-fires-fresh-broadside-chinas-shipyards-new-executive-order?utm_source=rss_feed,"The US has softened a controversial port-fee proposal, but is preparing yet more tariffs targeting China’s dominant shipbuilding sector.",2025-04-11 19:30:07,
SCMP,news,hong_kong,"As Trump has annual check-up, will he finally share details of his health?",https://www.scmp.com/news/world/united-states-canada/article/3306210/trump-has-annual-check-will-he-finally-share-details-his-health?utm_source=rss_feed,The nation’s oldest president to be sworn into office has long kept basic facts about his health shrouded in secrecy.,"Fri, 11 Apr 2025 19:16:08 +0800",Associated Press,https://www.scmp.com/news/world/united-states-canada/article/3306210/trump-has-annual-check-will-he-finally-share-details-his-health?utm_source=rss_feed,The nation’s oldest president to be sworn into office has long kept basic facts about his health shrouded in secrecy.,2025-04-11 19:16:08,
SCMP,business,global_economy,Cartier show at London’s V&A features 350 jewellery pieces worn by royalty and Hollywood,https://www.scmp.com/lifestyle/fashion-beauty/article/3305935/cartier-show-londons-va-features-350-jewellery-pieces-worn-royalty-and-hollywood?utm_source=rss_feed,"Exhibition at London’s V&A explores Cartier luxury jewellery, watches and tiaras, with creations spanning decades of elegance and innovation.","Fri, 11 Apr 2025 19:15:08 +0800",Reuters,https://www.scmp.com/lifestyle/fashion-beauty/article/3305935/cartier-show-londons-va-features-350-jewellery-pieces-worn-royalty-and-hollywood?utm_source=rss_feed,"Exhibition at London’s V&A explores Cartier luxury jewellery, watches and tiaras, with creations spanning decades of elegance and innovation.",2025-04-11 19:15:08,
SCMP,news,hong_kong,Siobhan Haughey’s Olympic swimsuit sells at auction for more than Phelps’ Speedos,https://www.scmp.com/sport/hong-kong/article/3306208/siobhan-haugheys-olympic-swimsuit-sells-auction-more-phelps-speedos?utm_source=rss_feed,"HK$180,000 bid buys Arena swimsuit and team cap Haughey wore to earn Hong Kong’s first Olympic medal in swimming.","Fri, 11 Apr 2025 19:04:59 +0800",Tom Bell,https://www.scmp.com/sport/hong-kong/article/3306208/siobhan-haugheys-olympic-swimsuit-sells-auction-more-phelps-speedos?utm_source=rss_feed,"HK$180,000 bid buys Arena swimsuit and team cap Haughey wore to earn Hong Kong’s first Olympic medal in swimming.",2025-04-11 19:04:59,
